"",,COOK,,,,,,
17-05594588,Tree Planting -,"1814 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594594,Tree Planting -,"1816 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594611,Tree Planting -,"1840 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594632,Tree Planting -,"1852 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594642,Tree Planting -,"1856 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594648,Tree Planting -,"2068 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594649,Tree Planting -,"2110 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594650,Tree Planting -,"2111 N WESTERN AVE , CHICAGO,",32-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594652,Tree Planting -,"2112 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
17-05594657,Tree Planting -,"2115 N WESTERN AVE , CHICAGO,",32-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594660,Tree Planting -,"2230 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594664,Tree Planting -,"2240 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594665,Tree Planting -,"2300 N WESTERN AVE , CHICAGO,",1-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594668,Tree Planting -,"2311 N WESTERN AVE , CHICAGO,",32-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,"IL, 60647",,10:39 AM,,,Green Streets,
"",,COOK,,,,,,
17-05594917,Tree Planting -,"1626 N DAMEN AVE , CHICAGO, IL,",2-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,60647,,10:49 AM,08:22 AM,,Green Streets,
"",,COOK,,,,,,
17-05595035,Tree Planting -,"1628 N DAMEN AVE , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60647,,10:51 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595041,Tree Planting -,"2058 N DAMEN AVE , CHICAGO, IL,",32-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60647,,10:51 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595046,Tree Planting -,"2131 N DAMEN AVE , CHICAGO, IL,",32-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60647,,10:51 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595051,Tree Planting -,"2143 N DAMEN AVE , CHICAGO, IL,",32-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60647,,10:51 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595155,Tree Planting -,"1412 W DIVISION ST , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60642,,10:54 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595159,Tree Planting -,"1418 W DIVISION ST , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60642,,10:54 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595166,Tree Planting -,"1420 W DIVISION ST , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60642,,10:54 AM,,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
17-05595171,Tree Planting -,"1504 W DIVISION ST , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60642,,10:54 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595174,Tree Planting -,"1508 W DIVISION ST , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60642,,10:54 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595180,Tree Planting -,"2205 W DIVISION ST , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60622,,10:54 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595187,Tree Planting -,"2207 W DIVISION ST , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60622,,10:54 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595195,Tree Planting -,"2209 W DIVISION ST , CHICAGO, IL,",2-Ward,"Aug 21, 2017",,Completed,Bureau of Forestry -,
"",Green Streets,60622,,10:54 AM,,,Green Streets,
"",,COOK,,,,,,
17-05595291,Tree Planting -,"1252 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,10:58 AM,09:53 AM,,Green Streets,
"",,COOK,,,,,,
17-05595303,Tree Planting -,"1255 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,10:58 AM,10:09 AM,,Green Streets,
"",,COOK,,,,,,
17-05595316,Tree Planting -,"1257 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,10:58 AM,10:09 AM,,Green Streets,
"",,COOK,,,,,,
17-05595332,Tree Planting -,"1259 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,10:59 AM,10:09 AM,,Green Streets,
"",,COOK,,,,,,
17-05595395,Tree Planting -,"1270 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60622",,11:00 AM,10:10 AM,,Green Streets,
"",,COOK,,,,,,
17-05595416,Tree Planting -,"1273 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60622",,11:00 AM,10:10 AM,,Green Streets,
"",,COOK,,,,,,
17-05595423,Tree Planting -,"1279 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60622",,11:00 AM,10:11 AM,,Green Streets,
"",,COOK,,,,,,
17-05595426,Tree Planting -,"1281 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60622",,11:01 AM,10:11 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
17-05595430,Tree Planting -,"1283 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60622",,11:01 AM,10:11 AM,,Green Streets,
"",,COOK,,,,,,
17-05595435,Tree Planting -,"1286 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60622",,11:01 AM,10:11 AM,,Green Streets,
"",,COOK,,,,,,
17-05595442,Tree Planting -,"1289 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60622",,11:01 AM,10:12 AM,,Green Streets,
"",,COOK,,,,,,
17-05595446,Tree Planting -,"1291 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,
"",Green Streets,"CHICAGO, IL, 60622",,11:01 AM,10:12 AM,,Green Streets,
"",,COOK,,,,,,
17-05595552,Tree Planting -,"1295 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:05 AM,10:12 AM,,Green Streets,
"",,COOK,,,,,,
17-05595553,Tree Planting -,"1326 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:05 AM,10:13 AM,,Green Streets,
"",,COOK,,,,,,
17-05595565,Tree Planting -,"1336 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:05 AM,12:11 PM,,Green Streets,
"",,COOK,,,,,,
17-05595570,Tree Planting -,"1348 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:05 AM,12:11 PM,,Green Streets,
"",,COOK,,,,,,
17-05595580,Tree Planting -,"1362 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:06 AM,12:12 PM,,Green Streets,
"",,COOK,,,,,,
17-05595599,Tree Planting -,"1365 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:06 AM,01:35 PM,,Green Streets,
"",,COOK,,,,,,
17-05595614,Tree Planting -,"1366 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:06 AM,01:35 PM,,Green Streets,
"",,COOK,,,,,,
17-05595631,Tree Planting -,"1367 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:06 AM,01:36 PM,,Green Streets,
"",,COOK,,,,,,
17-05595638,Tree Planting -,"1379 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:06 AM,01:36 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
17-05595644,Tree Planting -,"1391 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:06 AM,01:37 PM,,Green Streets,
"",,COOK,,,,,,
17-05595649,Tree Planting -,"1415 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:06 AM,01:37 PM,,Green Streets,
"",,COOK,,,,,,
17-05595653,Tree Planting -,"1440 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:07 AM,01:38 PM,,Green Streets,
"",,COOK,,,,,,
17-05595656,Tree Planting -,"1442 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:07 AM,01:39 PM,,Green Streets,
"",,COOK,,,,,,
17-05595658,Tree Planting -,"1443 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:07 AM,01:39 PM,,Green Streets,
"",,COOK,,,,,,
17-05595662,Tree Planting -,"1446 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:07 AM,01:39 PM,,Green Streets,
"",,COOK,,,,,,
17-05595666,Tree Planting -,"1464 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:07 AM,01:40 PM,,Green Streets,
"",,COOK,,,,,,
17-05595669,Tree Planting -,"1516 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:07 AM,01:41 PM,,Green Streets,
"",,COOK,,,,,,
17-05595675,Tree Planting -,"1531 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:08 AM,01:41 PM,,Green Streets,
"",,COOK,,,,,,
17-05595680,Tree Planting -,"1540 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:08 AM,01:41 PM,,Green Streets,
"",,COOK,,,,,,
17-05595686,Tree Planting -,"1553 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:08 AM,01:41 PM,,Green Streets,
"",,COOK,,,,,,
17-05595696,Tree Planting -,"1570 N MILWAUKEE AVE ,",1-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:08 AM,01:42 PM,,Green Streets,
"",,COOK,,,,,,
17-05595709,Tree Planting -,"1615 N MILWAUKEE AVE ,",,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60622",,11:08 AM,01:42 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
17-05595776,Tree Planting -,"1617 N MILWAUKEE AVE ,",2-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60647",,11:09 AM,01:42 PM,,Green Streets,
"",,COOK,,,,,,
17-05595779,Tree Planting -,"1665 N MILWAUKEE AVE ,",2-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60647",,11:09 AM,01:42 PM,,Green Streets,
"",,COOK,,,,,,
17-05595788,Tree Planting -,"1667 N MILWAUKEE AVE ,",2-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60647",,11:09 AM,01:43 PM,,Green Streets,
"",,COOK,,,,,,
17-05595796,Tree Planting -,"1869 N MILWAUKEE AVE ,",32-Ward,"Aug 21, 2017","DEC 11, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60647",,11:10 AM,01:43 PM,,Green Streets,
"",,COOK,,,,,,
17-05595804,Tree Planting -,"1870 N MILWAUKEE AVE ,",32-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60647",,11:10 AM,01:43 PM,,Green Streets,
"",,COOK,,,,,,
17-05595811,Tree Planting -,"1874 N MILWAUKEE AVE ,",32-Ward,"Aug 21, 2017","OCT 06, 2017",Completed,Bureau of Forestry -,7D
"",Green Streets,"CHICAGO, IL, 60647",,11:10 AM,01:44 PM,,Green Streets,
"",,COOK,,,,,,
17-08241338,Tree Planting -,"3207 N SHEFFIELD AVE , CHICAGO,",44-Ward,"Dec 08, 2017","NOV 17, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7d - 01zf
"",Green Streets,"IL, 60657",,07:28 AM,07:28 AM,,Green Streets,
"",,COOK,,,,,,
17-08241346,Tree Planting -,"3515 N SHEFFIELD AVE , CHICAGO,",44-Ward,"Dec 08, 2017","NOV 17, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,"IL, 60657",,07:29 AM,07:29 AM,,Green Streets,
"",,COOK,,,,,,
17-08241360,Tree Planting -,"833 W 47TH ST , CHICAGO, IL,",20-Ward,"Dec 08, 2017","NOV 15, 2017",Completed,Bureau of Forestry -,3 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,60609,,07:30 AM,07:31 AM,,Green Streets,
"",,COOK,,,,,,
17-08241370,Tree Planting -,"277 E ONTARIO ST , CHICAGO, IL,",42-Ward,"Dec 08, 2017","NOV 10, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,60611,,07:32 AM,07:32 AM,,Green Streets,
"",,COOK,,,,,,
17-08241388,Tree Planting -,"50 E ONTARIO ST , CHICAGO, IL,",42-Ward,"Dec 08, 2017","NOV 10, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,60611,,07:33 AM,07:33 AM,,Green Streets,
"",,COOK,,,,,,
17-08241391,Tree Planting -,"2204 W LAWRENCE AVE ,",47-Ward,"Dec 08, 2017","OCT 23, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 07ZF
"",Green Streets,"CHICAGO, IL, 60625",,07:34 AM,07:34 AM,,Green Streets,
"",,COOK,,,,,,
17-08241393,Tree Planting -,"950 W BARRY AVE , CHICAGO, IL,",44-Ward,"Dec 08, 2017","NOV 08, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,60657,,07:35 AM,07:35 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
17-08241460,Tree Planting -,"30 W CHICAGO AVE , CHICAGO, IL,",2-Ward,"Dec 08, 2017","NOV 08, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,60654,,07:39 AM,07:39 AM,,Green Streets,
"",,COOK,,,,,,
17-08241465,Tree Planting -,"1436 W ADDISON ST , CHICAGO, IL,",44-Ward,"Dec 08, 2017","NOV 08, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 41ZD
"",Green Streets,60613,,07:40 AM,07:40 AM,,Green Streets,
"",,COOK,,,,,,
17-08241467,Tree Planting -,"522 W HAWTHORNE PL , CHICAGO,",44-Ward,"Dec 08, 2017","NOV 08, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,"IL, 60657",,07:41 AM,07:41 AM,,Green Streets,
"",,COOK,,,,,,
17-08241487,Tree Planting -,"702 W BUCKINGHAM PL , CHICAGO,",44-Ward,"Dec 08, 2017","NOV 20, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,"IL, 60657",,07:42 AM,07:42 AM,,Green Streets,
"",,COOK,,,,,,
17-08241504,Tree Planting -,"11089 S HALE AVE , CHICAGO, IL,",19-Ward,"Dec 08, 2017","NOV 20, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,60643,,07:43 AM,07:43 AM,,Green Streets,
"",,COOK,,,,,,
17-08241559,Tree Planting -,"1700 W LAWRENCE AVE ,",47-Ward,"Dec 08, 2017","OCT 23, 2017",Completed,Bureau of Forestry -,1 - Exiting Median - 7D - 07ZF
"",Green Streets,"CHICAGO, IL, 60640",,07:46 AM,07:46 AM,,Green Streets,
"",,COOK,,,,,,
17-08241601,Tree Planting -,"1730 W LAWRENCE AVE ,",47-Ward,"Dec 08, 2017","OCT 23, 2017",Completed,Bureau of Forestry -,2 Exiting Median - 7D - 07ZF
"",Green Streets,"CHICAGO, IL, 60640",,07:48 AM,07:48 AM,,Green Streets,
"",,COOK,,,,,,
17-08241624,Tree Planting -,"1900 W LAWRENCE AVE ,",47-Ward,"Dec 08, 2017","OCT 23, 2017",Completed,Bureau of Forestry -,Exiting Median - 7D - 07ZF
"",Green Streets,"CHICAGO, IL, 60640",,07:50 AM,07:50 AM,,Green Streets,
"",,COOK,,,,,,
17-08241660,Tree Planting -,"1930 W LAWRENCE AVE ,",47-Ward,"Dec 08, 2017","OCT 23, 2017",Completed,Bureau of Forestry -,1 - Exiting Median - 7D - 07ZF
"",Green Streets,"CHICAGO, IL, 60640",,07:51 AM,07:51 AM,,Green Streets,
"",,COOK,,,,,,
17-08245524,Tree Planting -,"3423 N BROADWAY , CHICAGO, IL,",44-Ward,"Dec 08, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,2 - Existing Cut Outs - 7d - 01ZF
"",Green Streets,60657,,10:02 AM,10:02 AM,,Green Streets,
"",,COOK,,,,,,
17-08245588,Tree Planting -,"1523 N ASHLAND AVE , CHICAGO,",2-Ward,"Dec 08, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 41ZE
"",Green Streets,"IL, 60622",,10:04 AM,10:04 AM,,Green Streets,
"",,COOK,,,,,,
17-08245597,Tree Planting -,"1439 N ASHLAND AVE , CHICAGO,",2-Ward,"Dec 08, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 25ZF
"",Green Streets,"IL, 60622",,10:04 AM,10:04 AM,,Green Streets,- 25ZE
"",,COOK,,,,,,
17-08245607,Tree Planting -,"949 W WELLINGTON AVE ,",44-Ward,"Dec 08, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 07ZC
"",Green Streets,"CHICAGO, IL, 60657",,10:05 AM,10:05 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
17-08245667,Tree Planting -,"3531 N CALIFORNIA AVE , 33-Ward",,"Dec 08, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,6 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,"CHICAGO, IL, 60618",,10:07 AM,10:07 AM,,Green Streets,- 3531-3559
"",,COOK,,,,,,
17-08245683,Tree Planting -,"3020 N LINCOLN AVE , CHICAGO, IL, 32-Ward",,"Dec 08, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,3 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,60657,,10:08 AM,10:08 AM,,Green Streets,
"",,COOK,,,,,,
17-08300872,Tree Planting -,"3531 N CALIFORNIA AVE , 33-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,6 - 3531-3559 - Existing Cut Outs
"",Green Streets,"CHICAGO, IL, 60618",,06:58 AM,06:58 AM,,Green Streets,- 7d - 25ZE
"",,COOK,,,,,,
17-08300878,Tree Planting -,"3020 N LINCOLN AVE , CHICAGO, IL, 32-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,3 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,60657,,06:59 AM,06:59 AM,,Green Streets,
"",,COOK,,,,,,
17-08300930,Tree Planting -,"758 N SEDGWICK ST , CHICAGO, IL, 42-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,60654,,07:01 AM,07:01 AM,,Green Streets,
"",,COOK,,,,,,
17-08300937,Tree Planting -,"1247 W WASHINGTON BLVD , 27-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,"CHICAGO, IL, 60607",,07:02 AM,07:02 AM,,Green Streets,
"",,COOK,,,,,,
17-08300964,Tree Planting -,"1248 W WASHINGTON BLVD , 27-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,"CHICAGO, IL, 60607",,07:03 AM,07:03 AM,,Green Streets,
"",,COOK,,,,,,
17-08301168,Tree Planting -,"1326 W WASHINGTON BLVD , 27-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,4 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,"CHICAGO, IL, 60607",,07:14 AM,07:14 AM,,Green Streets,
"",,COOK,,,,,,
17-08301197,Tree Planting -,"1400 W WASHINGTON BLVD , 27-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,3 - Existing Cut Outs - 7D - 01ZF
"",Green Streets,"CHICAGO, IL, 60607",,07:15 AM,07:15 AM,,Green Streets,
"",,COOK,,,,,,
17-08301232,Tree Planting -,"733 W MONROE ST , CHICAGO, IL, 42-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,60661,,07:15 AM,07:16 AM,,Green Streets,
"",,COOK,,,,,,
17-08313146,Tree Planting -,"1510 W 18TH ST , CHICAGO, IL, 25-Ward",,"Dec 11, 2017","JUN 20, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,60608,,02:08 PM,02:08 PM,,Green Streets,
"",,COOK,,,,,,
17-08313187,Tree Planting -,"1439 N ASHLAND AVE , CHICAGO, 2-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 25ZE
"",Green Streets,"IL, 60622",,02:09 PM,02:09 PM,,Green Streets,
"",,COOK,,,,,,
17-08313204,Tree Planting -,"1523 N ASHLAND AVE , CHICAGO, 2-Ward",,"Dec 11, 2017","OCT 26, 2017",Completed,Bureau of Forestry -,1 - Existing Cut Outs - 7D - 41ZE
"",Green Streets,"IL, 60622",,02:10 PM,02:11 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
